Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Leonard, M.",YKW,6,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Quaid, D.",YKW,6,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Alexander, N.",YKW,5,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Hellzapoppin, J.",YKW,5,0,1,0/0,0,0,1,0,"[0, 0, 0]"
"Virtanen, M.",YKW,5,0,1,0/0,1,0,0,0,"[0, 0, 0]"
"Cho, J.",YKW,4,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Valdyr, M.",YKW,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Jensen, C.",YKW,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Kroustis, G.",YKW,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Money, P.",YKW,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Snuggles, J.",YKW,1,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Skyline, A.",YKW,0,0,0,0/2,0,0,0,0,"[0, 0, 0]"
"Mango-Panda, H.",SAR,15,0,0,2/0,0,0,0,0,"[0, 0, 0]"
"d'Alcott, R.",SAR,10,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Andrews, J.",SAR,8,0,0,1/0,3,0,0,0,"[0, 0, 0]"
"Nkiah, J.",SAR,6,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Ocewilder, S.",SAR,6,3,1,0/0,0,0,0,0,"[0, 0, 0]"
"Beat, N.",SAR,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Goku, S.",SAR,5,3,1,0/0,0,0,0,0,"[0, 0, 0]"
"Dillmiballs, F.",SAR,4,0,0,0/1,0,0,0,0,"[0, 0, 0]"
"Knight, L.",SAR,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Karpaasi, M.",SAR,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Clemente, C.",SAR,2,0,1,0/0,0,0,0,0,"[0, 0, 0]"
