Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Storm, J.",OCO,13,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Abernathy, K.",OCO,11,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Grievous, L.",OCO,7,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Lattimer, A.",OCO,7,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Biggums, T.",OCO,5,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Lovote, M.",OCO,5,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Skarsgard, T.",OCO,5,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Dream, K.",OCO,4,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Mbanefo, K.",OCO,4,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Ginsberg, D.",OCO,3,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Z, D.",OCO,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Lee, L.",AZ,7,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Masters, S.",AZ,7,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Swift, T.",AZ,5,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Jimbo, D.",AZ,4,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"McKinnie, L.",AZ,4,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Morris, R.",AZ,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Knight, L.",AZ,3,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Montgomery, B.",AZ,3,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Wilf, G.",AZ,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
