,Stat,YKW,COL
1,First Downs,14,12
2,3rd Down Efficiency,0.3888888888888889,0.25
3,4rd Down Efficiency,0.0,0.0
4,Total Yards,313,291
5,Passing,215,204
0,Completions,22,17
1,Attempts,39,36
7,Yards per Pass,5.5,5.7
8,Rushing,98,87
9,Rushing Attempts,27,25
10,Yards per Rush,3.6,3.5
2,Penalties,7,10
3,Penalty Yards,59,90
12,Turnovers,1,0
4,Fumbles,1,1
5,Fumbles Lost,0,0
14,Had Intercepted,1,0
15,Time of Possession,31:24,28:36
